date,state,cases_new,cases_import,cases_recovered,cases_active,cases_cluster
25/1/2020,Malaysia,4,4,0,4,0
26/1/2020,Malaysia,0,0,0,4,0
27/1/2020,Malaysia,0,0,0,4,0
28/1/2020,Malaysia,0,0,0,4,0
29/1/2020,Malaysia,3,3,0,7,0
30/1/2020,Malaysia,1,1,0,8,0
31/1/2020,Malaysia,0,0,0,8,0
1/2/2020,Malaysia,0,0,0,8,0
2/2/2020,Malaysia,0,0,0,8,0
3/2/2020,Malaysia,0,0,0,8,0
4/2/2020,Malaysia,2,2,0,10,0
5/2/2020,Malaysia,2,2,1,11,0
6/2/2020,Malaysia,2,1,0,13,0
7/2/2020,Malaysia,1,1,0,14,0
8/2/2020,Malaysia,1,1,1,14,0
9/2/2020,Malaysia,1,0,1,14,0
10/2/2020,Malaysia,1,1,0,15,0
11/2/2020,Malaysia,0,0,0,15,0
12/2/2020,Malaysia,0,0,0,15,0
13/2/2020,Malaysia,0,0,0,15,0
14/2/2020,Malaysia,1,1,4,12,0
15/2/2020,Malaysia,3,3,1,14,0
16/2/2020,Malaysia,0,0,0,14,0
17/2/2020,Malaysia,0,0,3,11,0
18/2/2020,Malaysia,0,0,2,9,0
19/2/2020,Malaysia,0,0,4,5,0
20/2/2020,Malaysia,0,0,0,5,0
21/2/2020,Malaysia,0,0,0,5,0
22/2/2020,Malaysia,0,0,1,4,0
23/2/2020,Malaysia,0,0,0,4,0
24/2/2020,Malaysia,0,0,2,2,0
25/2/2020,Malaysia,0,0,0,2,0
26/2/2020,Malaysia,0,0,0,2,0
27/2/2020,Malaysia,1,1,2,1,0
28/2/2020,Malaysia,2,2,0,3,0
29/2/2020,Malaysia,0,0,0,3,0
1/3/2020,Malaysia,4,1,0,7,0
2/3/2020,Malaysia,0,0,0,7,0
3/3/2020,Malaysia,7,1,0,14,0
4/3/2020,Malaysia,14,0,1,27,0
5/3/2020,Malaysia,5,0,0,32,0
6/3/2020,Malaysia,28,1,0,60,0
7/3/2020,Malaysia,10,2,1,69,0
8/3/2020,Malaysia,6,0,1,74,0
9/3/2020,Malaysia,18,2,1,91,0
10/3/2020,Malaysia,12,0,0,103,0
11/3/2020,Malaysia,20,3,1,122,2
12/3/2020,Malaysia,9,1,6,125,4
13/3/2020,Malaysia,39,1,0,164,34
14/3/2020,Malaysia,41,1,4,201,35
15/3/2020,Malaysia,190,2,5,386,175
16/3/2020,Malaysia,125,6,0,511,108
17/3/2020,Malaysia,120,3,7,622,109
18/3/2020,Malaysia,117,8,11,728,96
19/3/2020,Malaysia,110,5,15,823,85
20/3/2020,Malaysia,130,6,12,940,111
21/3/2020,Malaysia,153,11,27,1062,109
22/3/2020,Malaysia,123,21,25,1156,86
23/3/2020,Malaysia,212,29,20,1343,159
24/3/2020,Malaysia,106,19,24,1423,69
25/3/2020,Malaysia,172,35,16,1576,114
26/3/2020,Malaysia,235,27,16,1790,154
27/3/2020,Malaysia,130,19,44,1874,68
28/3/2020,Malaysia,159,22,61,1966,102
29/3/2020,Malaysia,150,17,68,2043,93
30/3/2020,Malaysia,156,16,90,2105,105
31/3/2020,Malaysia,140,17,58,2182,80
1/4/2020,Malaysia,142,15,108,2214,70
2/4/2020,Malaysia,208,36,122,2298,99
3/4/2020,Malaysia,217,21,60,2450,129
4/4/2020,Malaysia,150,17,88,2509,109
5/4/2020,Malaysia,179,21,90,2596,95
6/4/2020,Malaysia,131,19,236,2489,80
7/4/2020,Malaysia,170,19,80,2578,77
8/4/2020,Malaysia,156,20,166,2567,61
9/4/2020,Malaysia,109,20,121,2553,53
10/4/2020,Malaysia,118,20,222,2446,56
11/4/2020,Malaysia,184,10,165,2462,114
12/4/2020,Malaysia,153,14,113,2497,86
13/4/2020,Malaysia,134,8,168,2462,69
14/4/2020,Malaysia,170,12,202,2427,115
15/4/2020,Malaysia,85,4,169,2341,51
16/4/2020,Malaysia,110,3,119,2330,49
17/4/2020,Malaysia,69,6,201,2197,37
18/4/2020,Malaysia,54,6,135,2116,36
19/4/2020,Malaysia,84,48,95,2104,17
20/4/2020,Malaysia,36,13,98,2041,5
21/4/2020,Malaysia,57,18,54,2042,15
22/4/2020,Malaysia,50,5,103,1987,24
23/4/2020,Malaysia,71,20,90,1967,42
24/4/2020,Malaysia,88,15,121,1933,67
25/4/2020,Malaysia,51,4,99,1883,40
26/4/2020,Malaysia,38,5,100,1821,25
27/4/2020,Malaysia,40,5,95,1765,17
28/4/2020,Malaysia,31,10,75,1720,7
29/4/2020,Malaysia,94,72,55,1758,13
30/4/2020,Malaysia,57,26,84,1729,8
1/5/2020,Malaysia,69,12,39,1759,5
2/5/2020,Malaysia,105,11,116,1747,53
3/5/2020,Malaysia,122,52,87,1781,21
4/5/2020,Malaysia,55,7,71,1765,27
5/5/2020,Malaysia,30,1,83,1710,22
6/5/2020,Malaysia,45,1,135,1620,28
7/5/2020,Malaysia,39,1,74,1584,27
8/5/2020,Malaysia,68,4,88,1564,57
9/5/2020,Malaysia,54,1,65,1552,31
10/5/2020,Malaysia,67,0,96,1522,47
11/5/2020,Malaysia,70,13,88,1504,3
12/5/2020,Malaysia,16,3,110,1409,2
13/5/2020,Malaysia,37,4,58,1386,25
14/5/2020,Malaysia,40,0,70,1356,5
15/5/2020,Malaysia,36,1,88,1304,14
16/5/2020,Malaysia,17,6,73,1248,0
17/5/2020,Malaysia,22,5,59,1211,12
18/5/2020,Malaysia,47,21,44,1213,2
19/5/2020,Malaysia,37,2,31,1219,1
20/5/2020,Malaysia,31,10,60,1190,0
21/5/2020,Malaysia,50,3,90,1149,0
22/5/2020,Malaysia,78,26,63,1164,13
23/5/2020,Malaysia,48,4,53,1159,2
24/5/2020,Malaysia,60,7,33,1186,8
25/5/2020,Malaysia,172,5,34,1324,0
26/5/2020,Malaysia,187,10,62,1449,0
27/5/2020,Malaysia,15,6,42,1422,0
28/5/2020,Malaysia,10,0,86,1346,0
29/5/2020,Malaysia,103,7,66,1383,1
30/5/2020,Malaysia,30,3,95,1318,4
31/5/2020,Malaysia,57,10,23,1352,17
1/6/2020,Malaysia,38,26,51,1339,1
2/6/2020,Malaysia,20,15,66,1293,0
3/6/2020,Malaysia,93,0,61,1325,0
4/6/2020,Malaysia,277,2,28,1573,1
5/6/2020,Malaysia,19,7,51,1540,1
6/6/2020,Malaysia,37,8,25,1552,2
7/6/2020,Malaysia,19,6,39,1532,0
8/6/2020,Malaysia,7,2,20,1519,2
9/6/2020,Malaysia,7,6,281,1245,0
10/6/2020,Malaysia,2,1,39,1207,0
11/6/2020,Malaysia,31,11,51,1186,1
12/6/2020,Malaysia,33,16,103,1114,0
13/6/2020,Malaysia,43,5,143,1014,1
14/6/2020,Malaysia,8,2,35,987,1
15/6/2020,Malaysia,41,3,54,974,5
16/6/2020,Malaysia,11,1,333,652,4
17/6/2020,Malaysia,10,0,140,522,6
18/6/2020,Malaysia,14,3,127,409,2
19/6/2020,Malaysia,6,2,70,345,1
20/6/2020,Malaysia,21,2,76,290,9
21/6/2020,Malaysia,16,3,10,296,2
22/6/2020,Malaysia,15,2,21,290,0
23/6/2020,Malaysia,3,0,9,284,2
24/6/2020,Malaysia,6,2,45,245,2
25/6/2020,Malaysia,4,3,40,209,0
26/6/2020,Malaysia,6,5,23,192,0
27/6/2020,Malaysia,10,4,14,188,0
28/6/2020,Malaysia,18,4,10,196,0
29/6/2020,Malaysia,3,1,16,183,0
30/6/2020,Malaysia,2,1,20,165,0
1/7/2020,Malaysia,1,1,21,145,0
2/7/2020,Malaysia,3,1,62,86,1
3/7/2020,Malaysia,5,3,9,82,0
4/7/2020,Malaysia,10,7,15,77,0
5/7/2020,Malaysia,5,3,4,78,0
6/7/2020,Malaysia,5,3,11,72,1
7/7/2020,Malaysia,6,4,5,73,0
8/7/2020,Malaysia,3,3,5,71,0
9/7/2020,Malaysia,6,6,13,64,0
10/7/2020,Malaysia,13,8,12,64,0
11/7/2020,Malaysia,8,4,4,68,0
12/7/2020,Malaysia,14,3,4,78,0
13/7/2020,Malaysia,7,6,1,84,1
14/7/2020,Malaysia,4,4,4,84,0
15/7/2020,Malaysia,5,1,2,87,2
16/7/2020,Malaysia,3,1,12,78,2
17/7/2020,Malaysia,18,10,3,92,8
18/7/2020,Malaysia,9,4,5,96,0
19/7/2020,Malaysia,15,4,7,104,5
20/7/2020,Malaysia,21,6,2,123,13
21/7/2020,Malaysia,15,4,7,131,0
22/7/2020,Malaysia,16,8,4,143,0
23/7/2020,Malaysia,9,3,8,144,0
24/7/2020,Malaysia,21,5,3,162,2
25/7/2020,Malaysia,23,6,17,168,2
26/7/2020,Malaysia,13,3,6,174,0
27/7/2020,Malaysia,7,4,1,180,0
28/7/2020,Malaysia,39,11,6,213,1
29/7/2020,Malaysia,13,8,5,220,0
30/7/2020,Malaysia,8,3,5,223,0
31/7/2020,Malaysia,12,5,27,208,0
1/8/2020,Malaysia,9,7,3,214,0
2/8/2020,Malaysia,14,1,17,211,0
3/8/2020,Malaysia,2,0,4,209,0
4/8/2020,Malaysia,1,0,16,194,0
5/8/2020,Malaysia,21,15,18,197,0
6/8/2020,Malaysia,15,5,11,201,0
7/8/2020,Malaysia,25,9,15,211,1
8/8/2020,Malaysia,7,6,47,171,0
9/8/2020,Malaysia,13,9,9,175,1
10/8/2020,Malaysia,11,5,19,167,0
11/8/2020,Malaysia,9,5,6,170,0
12/8/2020,Malaysia,11,8,8,173,2
13/8/2020,Malaysia,15,4,4,184,9
14/8/2020,Malaysia,20,7,7,197,13
15/8/2020,Malaysia,26,3,3,220,16
16/8/2020,Malaysia,25,16,28,217,6
17/8/2020,Malaysia,12,2,17,212,9
18/8/2020,Malaysia,7,4,26,193,3
19/8/2020,Malaysia,16,4,23,186,11
20/8/2020,Malaysia,5,5,7,184,0
21/8/2020,Malaysia,9,4,13,180,3
22/8/2020,Malaysia,8,3,4,184,5
23/8/2020,Malaysia,10,8,10,184,2
24/8/2020,Malaysia,7,2,6,185,0
25/8/2020,Malaysia,11,2,6,190,6
26/8/2020,Malaysia,6,1,7,189,5
27/8/2020,Malaysia,5,2,16,178,0
28/8/2020,Malaysia,10,8,36,152,2
29/8/2020,Malaysia,11,10,8,154,0
30/8/2020,Malaysia,17,15,10,160,1
31/8/2020,Malaysia,6,4,6,160,2
1/9/2020,Malaysia,14,5,21,152,9
2/9/2020,Malaysia,6,4,4,154,1
3/9/2020,Malaysia,14,4,4,164,8
4/9/2020,Malaysia,11,7,9,166,3
5/9/2020,Malaysia,6,4,21,151,1
6/9/2020,Malaysia,6,3,2,155,2
7/9/2020,Malaysia,62,6,9,208,54
8/9/2020,Malaysia,100,15,12,296,85
9/9/2020,Malaysia,24,6,7,313,17
10/9/2020,Malaysia,45,1,24,334,43
11/9/2020,Malaysia,182,1,14,502,181
12/9/2020,Malaysia,58,5,8,552,53
13/9/2020,Malaysia,47,2,7,592,24
14/9/2020,Malaysia,31,3,7,615,19
15/9/2020,Malaysia,23,10,6,632,13
16/9/2020,Malaysia,62,1,26,668,51
17/9/2020,Malaysia,21,5,15,674,9
18/9/2020,Malaysia,95,4,14,754,87
19/9/2020,Malaysia,20,3,51,722,10
20/9/2020,Malaysia,52,12,40,734,33
21/9/2020,Malaysia,57,6,40,751,39
22/9/2020,Malaysia,82,10,168,664,67
